frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
72882,7,4,-3,0.0,126.375,157.1,747.0
73803,6,7,1,1.0,140.1818181818182,132.25,921.0
74654,7,5,-2,0.0,125.5,126.91666666666667,851.0
75494,6,7,1,1.0,139.63636363636363,132.625,840.0
76263,6,7,1,1.0,140.0,132.5,769.0
77050,4,7,3,1.0,146.8,132.75,787.0
77819,6,7,1,1.0,142.36363636363637,132.75,769.0
78470,7,4,-3,0.0,125.375,157.3,651.0
79204,7,5,-2,0.0,125.375,126.66666666666667,734.0
79865,7,5,-2,0.0,125.375,126.66666666666667,661.0
80621,6,7,1,1.0,140.0,133.25,756.0
81325,7,5,-2,0.0,125.875,126.66666666666667,704.0
82136,7,6,-1,0.0,126.375,127.9090909090909,811.0
82928,7,6,-1,0.0,126.0,128.0909090909091,792.0
83615,7,4,-3,0.0,125.375,157.1,687.0
84421,7,6,-1,0.0,125.375,127.9090909090909,806.0
85267,7,6,-1,0.0,125.375,127.9090909090909,846.0
85984,7,5,-2,0.0,125.125,126.75,717.0
