frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
79929,5,7,2,1.0,136.83333333333334,132.625,748.0
80580,3,7,4,1.0,135.0,132.75,651.0
81318,5,7,2,1.0,137.16666666666666,132.75,738.0
82162,5,7,2,1.0,137.08333333333334,132.75,844.0
82704,3,7,4,1.0,135.11111111111111,132.25,542.0
83560,5,7,2,1.0,137.08333333333334,132.5,856.0
84218,5,7,2,1.0,137.66666666666666,132.375,658.0
84901,5,7,2,1.0,136.91666666666666,132.75,683.0
85611,7,4,-3,0.0,126.125,157.1,710.0
86132,3,7,4,1.0,134.66666666666666,132.5,521.0
